"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2010","2010","Alabama","01",2841,4779736,59.4,56.2
,"Influenza and pneumonia","J09-J18","2010","2010","Alaska","02",184,710231,25.9,42.3
,"Influenza and pneumonia","J09-J18","2010","2010","Arizona","04",2432,6392017,38.0,35.9
,"Influenza and pneumonia","J09-J18","2010","2010","Arkansas","05",1997,2915918,68.5,61.7
,"Influenza and pneumonia","J09-J18","2010","2010","California","06",19048,37253956,51.1,52.9
,"Influenza and pneumonia","J09-J18","2010","2010","Colorado","08",1661,5029196,33.0,37.1
,"Influenza and pneumonia","J09-J18","2010","2010","Connecticut","09",1927,3574097,53.9,42.1
,"Influenza and pneumonia","J09-J18","2010","2010","Delaware","10",437,897934,48.7,43.6
,"Influenza and pneumonia","J09-J18","2010","2010","District of Columbia","11",274,601723,45.5,46.8
,"Influenza and pneumonia","J09-J18","2010","2010","Florida","12",7558,18801310,40.2,29.9
,"Influenza and pneumonia","J09-J18","2010","2010","Georgia","13",4077,9687653,42.1,50.6
,"Influenza and pneumonia","J09-J18","2010","2010","Hawaii","15",866,1360301,63.7,51.3
,"Influenza and pneumonia","J09-J18","2010","2010","Idaho","16",629,1567582,40.1,40.8
,"Influenza and pneumonia","J09-J18","2010","2010","Illinois","17",6779,12830632,52.8,49.5
,"Influenza and pneumonia","J09-J18","2010","2010","Indiana","18",3485,6483802,53.7,50.4
,"Influenza and pneumonia","J09-J18","2010","2010","Iowa","19",1685,3046355,55.3,42.1
,"Influenza and pneumonia","J09-J18","2010","2010","Kansas","20",1487,2853118,52.1,45.1
,"Influenza and pneumonia","J09-J18","2010","2010","Kentucky","21",3094,4339367,71.3,68.1
,"Influenza and pneumonia","J09-J18","2010","2010","Louisiana","22",2144,4533372,47.3,48.9
,"Influenza and pneumonia","J09-J18","2010","2010","Maine","23",729,1328361,54.9,42.3
,"Influenza and pneumonia","J09-J18","2010","2010","Maryland","24",3055,5773552,52.9,51.6
,"Influenza and pneumonia","J09-J18","2010","2010","Massachusetts","25",4168,6547629,63.7,52.3
,"Influenza and pneumonia","J09-J18","2010","2010","Michigan","26",5004,9883640,50.6,44.4
,"Influenza and pneumonia","J09-J18","2010","2010","Minnesota","27",2308,5303925,43.5,38.2
,"Influenza and pneumonia","J09-J18","2010","2010","Mississippi","28",1724,2967297,58.1,58.2
,"Influenza and pneumonia","J09-J18","2010","2010","Missouri","29",3448,5988927,57.6,50.5
,"Influenza and pneumonia","J09-J18","2010","2010","Montana","30",538,989415,54.4,44.7
,"Influenza and pneumonia","J09-J18","2010","2010","Nebraska","31",1003,1826341,54.9,45.9
,"Influenza and pneumonia","J09-J18","2010","2010","Nevada","32",1050,2700551,38.9,43.3
,"Influenza and pneumonia","J09-J18","2010","2010","New Hampshire","33",646,1316470,49.1,43.3
,"Influenza and pneumonia","J09-J18","2010","2010","New Jersey","34",3823,8791894,43.5,37.4
,"Influenza and pneumonia","J09-J18","2010","2010","New Mexico","35",1090,2059179,52.9,51.7
,"Influenza and pneumonia","J09-J18","2010","2010","New York","36",11014,19378102,56.8,49.2
,"Influenza and pneumonia","J09-J18","2010","2010","North Carolina","37",5731,9535483,60.1,59.5
,"Influenza and pneumonia","J09-J18","2010","2010","North Dakota","38",435,672591,64.7,48.6
,"Influenza and pneumonia","J09-J18","2010","2010","Ohio","39",6876,11536504,59.6,50.9
,"Influenza and pneumonia","J09-J18","2010","2010","Oklahoma","40",2310,3751351,61.6,58.1
,"Influenza and pneumonia","J09-J18","2010","2010","Oregon","41",1670,3831074,43.6,37.5
,"Influenza and pneumonia","J09-J18","2010","2010","Pennsylvania","42",6872,12702379,54.1,40.7
,"Influenza and pneumonia","J09-J18","2010","2010","Rhode Island","44",743,1052567,70.6,53.8
,"Influenza and pneumonia","J09-J18","2010","2010","South Carolina","45",2552,4625364,55.2,53.7
,"Influenza and pneumonia","J09-J18","2010","2010","South Dakota","46",527,814180,64.7,50.5
,"Influenza and pneumonia","J09-J18","2010","2010","Tennessee","47",4141,6346105,65.3,62.8
,"Influenza and pneumonia","J09-J18","2010","2010","Texas","48",10234,25145561,40.7,48.9
,"Influenza and pneumonia","J09-J18","2010","2010","Utah","49",1011,2763885,36.6,49.9
,"Influenza and pneumonia","J09-J18","2010","2010","Vermont","50",363,625741,58.0,48.4
,"Influenza and pneumonia","J09-J18","2010","2010","Virginia","51",3545,8001024,44.3,45.4
,"Influenza and pneumonia","J09-J18","2010","2010","Washington","53",2986,6724540,44.4,42.8
,"Influenza and pneumonia","J09-J18","2010","2010","West Virginia","54",1469,1852994,79.3,63.4
,"Influenza and pneumonia","J09-J18","2010","2010","Wisconsin","55",2802,5686986,49.3,41.6
,"Influenza and pneumonia","J09-J18","2010","2010","Wyoming","56",297,563626,52.7,52.8
"Total","Influenza and pneumonia","J09-J18","2010","2010",,,156769,308745538,50.8,47.3
,"Influenza and pneumonia","J09-J18","2011","2011","Alabama","01",2733,4802740,56.9,52.8
,"Influenza and pneumonia","J09-J18","2011","2011","Alaska","02",211,722718,29.2,47.1
,"Influenza and pneumonia","J09-J18","2011","2011","Arizona","04",2635,6482505,40.6,37.4
,"Influenza and pneumonia","J09-J18","2011","2011","Arkansas","05",1991,2937979,67.8,59.7
,"Influenza and pneumonia","J09-J18","2011","2011","California","06",19435,37691912,51.6,52.0
,"Influenza and pneumonia","J09-J18","2011","2011","Colorado","08",1682,5116796,32.9,35.4
,"Influenza and pneumonia","J09-J18","2011","2011","Connecticut","09",2192,3580709,61.2,46.9
,"Influenza and pneumonia","J09-J18","2011","2011","Delaware","10",423,907135,46.6,41.2
,"Influenza and pneumonia","J09-J18","2011","2011","District of Columbia","11",282,617996,45.6,47.3
,"Influenza and pneumonia","J09-J18","2011","2011","Florida","12",7990,19057542,41.9,30.4
,"Influenza and pneumonia","J09-J18","2011","2011","Georgia","13",3932,9815210,40.1,46.9
,"Influenza and pneumonia","J09-J18","2011","2011","Hawaii","15",913,1374810,66.4,51.8
,"Influenza and pneumonia","J09-J18","2011","2011","Idaho","16",692,1584985,43.7,42.9
,"Influenza and pneumonia","J09-J18","2011","2011","Illinois","17",7057,12869257,54.8,50.5
,"Influenza and pneumonia","J09-J18","2011","2011","Indiana","18",3753,6516922,57.6,53.1
,"Influenza and pneumonia","J09-J18","2011","2011","Iowa","19",1862,3062309,60.8,45.3
,"Influenza and pneumonia","J09-J18","2011","2011","Kansas","20",1594,2871238,55.5,46.9
,"Influenza and pneumonia","J09-J18","2011","2011","Kentucky","21",2938,4369356,67.2,63.7
,"Influenza and pneumonia","J09-J18","2011","2011","Louisiana","22",2204,4574836,48.2,48.7
,"Influenza and pneumonia","J09-J18","2011","2011","Maine","23",838,1328188,63.1,47.2
,"Influenza and pneumonia","J09-J18","2011","2011","Maryland","24",2998,5828289,51.4,49.3
,"Influenza and pneumonia","J09-J18","2011","2011","Massachusetts","25",4334,6587536,65.8,53.1
,"Influenza and pneumonia","J09-J18","2011","2011","Michigan","26",5511,9876187,55.8,47.7
,"Influenza and pneumonia","J09-J18","2011","2011","Minnesota","27",2477,5344861,46.3,40.1
,"Influenza and pneumonia","J09-J18","2011","2011","Mississippi","28",1750,2978512,58.8,57.9
,"Influenza and pneumonia","J09-J18","2011","2011","Missouri","29",3500,6010688,58.2,50.3
,"Influenza and pneumonia","J09-J18","2011","2011","Montana","30",461,998199,46.2,37.9
,"Influenza and pneumonia","J09-J18","2011","2011","Nebraska","31",1077,1842641,58.4,48.5
,"Influenza and pneumonia","J09-J18","2011","2011","Nevada","32",1225,2723322,45.0,48.3
,"Influenza and pneumonia","J09-J18","2011","2011","New Hampshire","33",713,1318194,54.1,46.3
,"Influenza and pneumonia","J09-J18","2011","2011","New Jersey","34",3968,8821155,45.0,38.2
,"Influenza and pneumonia","J09-J18","2011","2011","New Mexico","35",1107,2082224,53.2,50.5
,"Influenza and pneumonia","J09-J18","2011","2011","New York","36",11532,19465197,59.2,50.6
,"Influenza and pneumonia","J09-J18","2011","2011","North Carolina","37",5458,9656401,56.5,54.7
,"Influenza and pneumonia","J09-J18","2011","2011","North Dakota","38",384,683932,56.1,43.1
,"Influenza and pneumonia","J09-J18","2011","2011","Ohio","39",7389,11544951,64.0,53.6
,"Influenza and pneumonia","J09-J18","2011","2011","Oklahoma","40",2493,3791508,65.8,60.9
,"Influenza and pneumonia","J09-J18","2011","2011","Oregon","41",1525,3871859,39.4,33.1
,"Influenza and pneumonia","J09-J18","2011","2011","Pennsylvania","42",7549,12742886,59.2,43.8
,"Influenza and pneumonia","J09-J18","2011","2011","Rhode Island","44",820,1051302,78.0,57.5
,"Influenza and pneumonia","J09-J18","2011","2011","South Carolina","45",2615,4679230,55.9,52.9
,"Influenza and pneumonia","J09-J18","2011","2011","South Dakota","46",554,824082,67.2,52.3
,"Influenza and pneumonia","J09-J18","2011","2011","Tennessee","47",4280,6403353,66.8,63.0
,"Influenza and pneumonia","J09-J18","2011","2011","Texas","48",10334,25674681,40.2,47.4
,"Influenza and pneumonia","J09-J18","2011","2011","Utah","49",1007,2817222,35.7,48.0
,"Influenza and pneumonia","J09-J18","2011","2011","Vermont","50",361,626431,57.6,46.5
,"Influenza and pneumonia","J09-J18","2011","2011","Virginia","51",3790,8096604,46.8,46.9
,"Influenza and pneumonia","J09-J18","2011","2011","Washington","53",3321,6830038,48.6,46.0
,"Influenza and pneumonia","J09-J18","2011","2011","West Virginia","54",1550,1855364,83.5,66.9
,"Influenza and pneumonia","J09-J18","2011","2011","Wisconsin","55",2888,5711767,50.6,42.0
,"Influenza and pneumonia","J09-J18","2011","2011","Wyoming","56",275,568158,48.4,47.8
"Total","Influenza and pneumonia","J09-J18","2011","2011",,,162603,311591917,52.2,47.7
,"Influenza and pneumonia","J09-J18","2012","2012","Alabama","01",2705,4822023,56.1,50.9
,"Influenza and pneumonia","J09-J18","2012","2012","Alaska","02",184,731449,25.2,38.0
,"Influenza and pneumonia","J09-J18","2012","2012","Arizona","04",2543,6553255,38.8,35.0
,"Influenza and pneumonia","J09-J18","2012","2012","Arkansas","05",1945,2949131,66.0,57.8
,"Influenza and pneumonia","J09-J18","2012","2012","California","06",18214,38041430,47.9,47.3
,"Influenza and pneumonia","J09-J18","2012","2012","Colorado","08",1634,5187582,31.5,33.4
,"Influenza and pneumonia","J09-J18","2012","2012","Connecticut","09",1887,3590347,52.6,40.0
,"Influenza and pneumonia","J09-J18","2012","2012","Delaware","10",406,917092,44.3,38.1
,"Influenza and pneumonia","J09-J18","2012","2012","District of Columbia","11",249,632323,39.4,40.3
,"Influenza and pneumonia","J09-J18","2012","2012","Florida","12",7802,19317568,40.4,28.7
,"Influenza and pneumonia","J09-J18","2012","2012","Georgia","13",3899,9919945,39.3,45.1
,"Influenza and pneumonia","J09-J18","2012","2012","Hawaii","15",1000,1392313,71.8,53.7
,"Influenza and pneumonia","J09-J18","2012","2012","Idaho","16",605,1595728,37.9,36.2
,"Influenza and pneumonia","J09-J18","2012","2012","Illinois","17",6495,12875255,50.4,45.7
,"Influenza and pneumonia","J09-J18","2012","2012","Indiana","18",3639,6537334,55.7,50.6
,"Influenza and pneumonia","J09-J18","2012","2012","Iowa","19",1743,3074186,56.7,42.0
,"Influenza and pneumonia","J09-J18","2012","2012","Kansas","20",1522,2885905,52.7,44.5
,"Influenza and pneumonia","J09-J18","2012","2012","Kentucky","21",2876,4380415,65.7,60.6
,"Influenza and pneumonia","J09-J18","2012","2012","Louisiana","22",2058,4601893,44.7,44.4
,"Influenza and pneumonia","J09-J18","2012","2012","Maine","23",764,1329192,57.5,42.7
,"Influenza and pneumonia","J09-J18","2012","2012","Maryland","24",2899,5884563,49.3,46.1
,"Influenza and pneumonia","J09-J18","2012","2012","Massachusetts","25",4006,6646144,60.3,48.2
,"Influenza and pneumonia","J09-J18","2012","2012","Michigan","26",5079,9883360,51.4,43.3
,"Influenza and pneumonia","J09-J18","2012","2012","Minnesota","27",2370,5379139,44.1,37.5
,"Influenza and pneumonia","J09-J18","2012","2012","Mississippi","28",1583,2984926,53.0,50.9
,"Influenza and pneumonia","J09-J18","2012","2012","Missouri","29",3236,6021988,53.7,45.5
,"Influenza and pneumonia","J09-J18","2012","2012","Montana","30",453,1005141,45.1,35.9
,"Influenza and pneumonia","J09-J18","2012","2012","Nebraska","31",954,1855525,51.4,43.1
,"Influenza and pneumonia","J09-J18","2012","2012","Nevada","32",1112,2758931,40.3,41.9
,"Influenza and pneumonia","J09-J18","2012","2012","New Hampshire","33",637,1320718,48.2,40.6
,"Influenza and pneumonia","J09-J18","2012","2012","New Jersey","34",3612,8864590,40.7,34.3
,"Influenza and pneumonia","J09-J18","2012","2012","New Mexico","35",1094,2085538,52.5,48.4
,"Influenza and pneumonia","J09-J18","2012","2012","New York","36",10833,19570261,55.4,46.7
,"Influenza and pneumonia","J09-J18","2012","2012","North Carolina","37",5714,9752073,58.6,55.4
,"Influenza and pneumonia","J09-J18","2012","2012","North Dakota","38",413,699628,59.0,45.8
,"Influenza and pneumonia","J09-J18","2012","2012","Ohio","39",6848,11544225,59.3,49.0
,"Influenza and pneumonia","J09-J18","2012","2012","Oklahoma","40",2273,3814820,59.6,54.8
,"Influenza and pneumonia","J09-J18","2012","2012","Oregon","41",1521,3899353,39.0,32.3
,"Influenza and pneumonia","J09-J18","2012","2012","Pennsylvania","42",7127,12763536,55.8,41.1
,"Influenza and pneumonia","J09-J18","2012","2012","Rhode Island","44",677,1050292,64.5,47.8
,"Influenza and pneumonia","J09-J18","2012","2012","South Carolina","45",2451,4723723,51.9,48.2
,"Influenza and pneumonia","J09-J18","2012","2012","South Dakota","46",512,833354,61.4,47.3
,"Influenza and pneumonia","J09-J18","2012","2012","Tennessee","47",4243,6456243,65.7,60.9
,"Influenza and pneumonia","J09-J18","2012","2012","Texas","48",10680,26059203,41.0,47.4
,"Influenza and pneumonia","J09-J18","2012","2012","Utah","49",1000,2855287,35.0,46.0
,"Influenza and pneumonia","J09-J18","2012","2012","Vermont","50",367,626011,58.6,46.2
,"Influenza and pneumonia","J09-J18","2012","2012","Virginia","51",3585,8185867,43.8,43.1
,"Influenza and pneumonia","J09-J18","2012","2012","Washington","53",3174,6897012,46.0,43.2
,"Influenza and pneumonia","J09-J18","2012","2012","West Virginia","54",1484,1855413,80.0,63.0
,"Influenza and pneumonia","J09-J18","2012","2012","Wisconsin","55",2766,5726398,48.3,39.5
,"Influenza and pneumonia","J09-J18","2012","2012","Wyoming","56",225,576412,39.0,38.2
"Total","Influenza and pneumonia","J09-J18","2012","2012",,,155098,313914040,49.4,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Alabama","01",2775,4833722,57.4,50.9
,"Influenza and pneumonia","J09-J18","2013","2013","Alaska","02",208,735132,28.3,43.4
,"Influenza and pneumonia","J09-J18","2013","2013","Arizona","04",2628,6626624,39.7,34.9
,"Influenza and pneumonia","J09-J18","2013","2013","Arkansas","05",2089,2959373,70.6,60.9
,"Influenza and pneumonia","J09-J18","2013","2013","California","06",18570,38332521,48.4,47.1
,"Influenza and pneumonia","J09-J18","2013","2013","Colorado","08",1698,5268367,32.2,33.4
,"Influenza and pneumonia","J09-J18","2013","2013","Connecticut","09",1840,3596080,51.2,38.1
,"Influenza and pneumonia","J09-J18","2013","2013","Delaware","10",452,925749,48.8,40.9
,"Influenza and pneumonia","J09-J18","2013","2013","District of Columbia","11",226,646449,35.0,36.8
,"Influenza and pneumonia","J09-J18","2013","2013","Florida","12",8406,19552860,43.0,30.0
,"Influenza and pneumonia","J09-J18","2013","2013","Georgia","13",4107,9992167,41.1,45.4
,"Influenza and pneumonia","J09-J18","2013","2013","Hawaii","15",1028,1404054,73.2,55.0
,"Influenza and pneumonia","J09-J18","2013","2013","Idaho","16",644,1612136,39.9,38.0
,"Influenza and pneumonia","J09-J18","2013","2013","Illinois","17",6572,12882135,51.0,45.4
,"Influenza and pneumonia","J09-J18","2013","2013","Indiana","18",3833,6570902,58.3,52.2
,"Influenza and pneumonia","J09-J18","2013","2013","Iowa","19",1859,3090416,60.2,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Kansas","20",1595,2893957,55.1,45.7
,"Influenza and pneumonia","J09-J18","2013","2013","Kentucky","21",2908,4395295,66.2,60.2
,"Influenza and pneumonia","J09-J18","2013","2013","Louisiana","22",2139,4625470,46.2,44.7
,"Influenza and pneumonia","J09-J18","2013","2013","Maine","23",752,1328302,56.6,41.0
,"Influenza and pneumonia","J09-J18","2013","2013","Maryland","24",2956,5928814,49.9,45.7
,"Influenza and pneumonia","J09-J18","2013","2013","Massachusetts","25",4145,6692824,61.9,49.2
,"Influenza and pneumonia","J09-J18","2013","2013","Michigan","26",5321,9895622,53.8,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Minnesota","27",2211,5420380,40.8,34.2
,"Influenza and pneumonia","J09-J18","2013","2013","Mississippi","28",1926,2991207,64.4,60.7
,"Influenza and pneumonia","J09-J18","2013","2013","Missouri","29",3449,6044171,57.1,47.7
,"Influenza and pneumonia","J09-J18","2013","2013","Montana","30",503,1015165,49.5,38.8
,"Influenza and pneumonia","J09-J18","2013","2013","Nebraska","31",946,1868516,50.6,41.3
,"Influenza and pneumonia","J09-J18","2013","2013","Nevada","32",1216,2790136,43.6,43.5
,"Influenza and pneumonia","J09-J18","2013","2013","New Hampshire","33",632,1323459,47.8,38.9
,"Influenza and pneumonia","J09-J18","2013","2013","New Jersey","34",4037,8899339,45.4,37.6
,"Influenza and pneumonia","J09-J18","2013","2013","New Mexico","35",1040,2085287,49.9,45.6
,"Influenza and pneumonia","J09-J18","2013","2013","New York","36",11202,19651127,57.0,47.3
,"Influenza and pneumonia","J09-J18","2013","2013","North Carolina","37",5634,9848060,57.2,52.9
,"Influenza and pneumonia","J09-J18","2013","2013","North Dakota","38",427,723393,59.0,46.3
,"Influenza and pneumonia","J09-J18","2013","2013","Ohio","39",6785,11570808,58.6,47.8
,"Influenza and pneumonia","J09-J18","2013","2013","Oklahoma","40",2298,3850568,59.7,54.6
,"Influenza and pneumonia","J09-J18","2013","2013","Oregon","41",1558,3930065,39.6,32.5
,"Influenza and pneumonia","J09-J18","2013","2013","Pennsylvania","42",7512,12773801,58.8,42.6
,"Influenza and pneumonia","J09-J18","2013","2013","Rhode Island","44",729,1051511,69.3,50.1
,"Influenza and pneumonia","J09-J18","2013","2013","South Carolina","45",2521,4774839,52.8,47.5
,"Influenza and pneumonia","J09-J18","2013","2013","South Dakota","46",505,844877,59.8,46.2
,"Influenza and pneumonia","J09-J18","2013","2013","Tennessee","47",4307,6495978,66.3,60.2
,"Influenza and pneumonia","J09-J18","2013","2013","Texas","48",11314,26448193,42.8,48.5
,"Influenza and pneumonia","J09-J18","2013","2013","Utah","49",1032,2900872,35.6,46.2
,"Influenza and pneumonia","J09-J18","2013","2013","Vermont","50",361,626630,57.6,44.3
,"Influenza and pneumonia","J09-J18","2013","2013","Virginia","51",3766,8260405,45.6,44.1
,"Influenza and pneumonia","J09-J18","2013","2013","Washington","53",3139,6971406,45.0,41.5
,"Influenza and pneumonia","J09-J18","2013","2013","West Virginia","54",1512,1854304,81.5,63.1
,"Influenza and pneumonia","J09-J18","2013","2013","Wisconsin","55",2860,5742713,49.8,40.2
,"Influenza and pneumonia","J09-J18","2013","2013","Wyoming","56",270,582658,46.3,44.3
"Total","Influenza and pneumonia","J09-J18","2013","2013",,,160443,316128839,50.8,44.9
,"Influenza and pneumonia","J09-J18","2014","2014","Alabama","01",2635,4849377,54.3,47.6
,"Influenza and pneumonia","J09-J18","2014","2014","Alaska","02",212,736732,28.8,43.4
,"Influenza and pneumonia","J09-J18","2014","2014","Arizona","04",2524,6731484,37.5,32.1
,"Influenza and pneumonia","J09-J18","2014","2014","Arkansas","05",1935,2966369,65.2,55.6
,"Influenza and pneumonia","J09-J18","2014","2014","California","06",17032,38802500,43.9,42.0
,"Influenza and pneumonia","J09-J18","2014","2014","Colorado","08",1844,5355866,34.4,35.1
,"Influenza and pneumonia","J09-J18","2014","2014","Connecticut","09",1784,3596677,49.6,37.1
,"Influenza and pneumonia","J09-J18","2014","2014","Delaware","10",474,935614,50.7,41.8
,"Influenza and pneumonia","J09-J18","2014","2014","District of Columbia","11",227,658893,34.5,35.7
,"Influenza and pneumonia","J09-J18","2014","2014","Florida","12",8277,19893297,41.6,28.8
,"Influenza and pneumonia","J09-J18","2014","2014","Georgia","13",3877,10097343,38.4,41.5
,"Influenza and pneumonia","J09-J18","2014","2014","Hawaii","15",995,1419561,70.1,51.7
,"Influenza and pneumonia","J09-J18","2014","2014","Idaho","16",621,1634464,38.0,35.7
,"Influenza and pneumonia","J09-J18","2014","2014","Illinois","17",6348,12880580,49.3,43.3
,"Influenza and pneumonia","J09-J18","2014","2014","Indiana","18",3601,6596855,54.6,48.1
,"Influenza and pneumonia","J09-J18","2014","2014","Iowa","19",1669,3107126,53.7,39.5
,"Influenza and pneumonia","J09-J18","2014","2014","Kansas","20",1563,2904021,53.8,44.7
,"Influenza and pneumonia","J09-J18","2014","2014","Kentucky","21",2924,4413457,66.3,59.6
,"Influenza and pneumonia","J09-J18","2014","2014","Louisiana","22",2013,4649676,43.3,41.5
,"Influenza and pneumonia","J09-J18","2014","2014","Maine","23",781,1330089,58.7,41.0
,"Influenza and pneumonia","J09-J18","2014","2014","Maryland","24",2741,5976407,45.9,41.7
,"Influenza and pneumonia","J09-J18","2014","2014","Massachusetts","25",3824,6745408,56.7,44.6
,"Influenza and pneumonia","J09-J18","2014","2014","Michigan","26",5194,9909877,52.4,42.9
,"Influenza and pneumonia","J09-J18","2014","2014","Minnesota","27",2138,5457173,39.2,32.8
,"Influenza and pneumonia","J09-J18","2014","2014","Mississippi","28",1820,2994079,60.8,56.1
,"Influenza and pneumonia","J09-J18","2014","2014","Missouri","29",3322,6063589,54.8,45.4
,"Influenza and pneumonia","J09-J18","2014","2014","Montana","30",463,1023579,45.2,35.2
,"Influenza and pneumonia","J09-J18","2014","2014","Nebraska","31",1002,1881503,53.3,43.8
,"Influenza and pneumonia","J09-J18","2014","2014","Nevada","32",1398,2839099,49.2,48.0
,"Influenza and pneumonia","J09-J18","2014","2014","New Hampshire","33",619,1326813,46.7,37.7
,"Influenza and pneumonia","J09-J18","2014","2014","New Jersey","34",3720,8938175,41.6,34.2
,"Influenza and pneumonia","J09-J18","2014","2014","New Mexico","35",1121,2085572,53.8,47.6
,"Influenza and pneumonia","J09-J18","2014","2014","New York","36",10729,19746227,54.3,44.9
,"Influenza and pneumonia","J09-J18","2014","2014","North Carolina","37",5456,9943964,54.9,49.9
,"Influenza and pneumonia","J09-J18","2014","2014","North Dakota","38",432,739482,58.4,47.3
,"Influenza and pneumonia","J09-J18","2014","2014","Ohio","39",6423,11594163,55.4,44.8
,"Influenza and pneumonia","J09-J18","2014","2014","Oklahoma","40",2173,3878051,56.0,50.4
,"Influenza and pneumonia","J09-J18","2014","2014","Oregon","41",1563,3970239,39.4,31.9
,"Influenza and pneumonia","J09-J18","2014","2014","Pennsylvania","42",6736,12787209,52.7,38.1
